geneID,x,y,z,intensity,seeds
acvr1b,917.269333333333,1610.67566666667,3,774.333333333333,3
acvr1b,956.269333333333,1647.34233333333,5.66666666666667,611,3
csnk1g1,939.019,1616.72333333333,6,955.333333333333,3
csnk1g3,964.00725,1633.58625,1,714.75,4
dusp3,962.312333333333,1626.95666666667,1,629.666666666667,3
eif4b,954.31175,1642.4245,2.5,836.5,4
eif4b,957.81175,1600.6745,6,782.5,4
foxo3,926.48,1621.36666666667,6,524,3
fzd3,935.242666666667,1649.29033333333,0,644,3
gabarapl1,921.710333333333,1591.80966666667,3,999.333333333333,3
gabarapl1,958.104,1641.83666666667,4.66666666666667,777.333333333333,3
gabarapl1,944.104,1598.83666666667,2,1021.66666666667,3
gabbr1,954.077666666667,1649.023,5,703.666666666667,3
gabbr2,960.22975,1595.3305,0,555.25,4
gnao1,937.42575,1582.7655,1,729.25,4
grin2a,937.487666666667,1613.289,0.333333333333333,643.333333333333,3
grin2a,957.411,1638.987,2.25,818.75,4
irs2,951.88025,1651.071,6,966,4
itga7,957.20975,1617.02775,6,674.75,4
magi2,962.234,1597.00966666667,1,673.333333333333,3
magi2,921.408666666667,1585.40733333333,4.33333333333333,579.333333333333,3
map2k6,948.148,1614.111,4,859.333333333333,3
map2k7,932.1465,1618.874,6,747,4
mapk1,937.40725,1614.10525,5,1065.5,4
mapk1,953.052333333333,1644.09866666667,5.66666666666667,724,3
mapk1,925.65725,1583.35525,0,630.5,4
mapk1,921.40725,1626.10525,0,776.75,4
mapk1,946.40725,1608.85525,2.25,950.25,4
mapk14,962.20025,1628.3945,0,588,4
mef2c,918.94425,1641.85125,4,1028.75,4
mtmr3,914.7565,1606.57875,2,804.75,4
nfatc3,961.30725,1616.3555,0.75,1055.75,4
numbl,951.903,1636.42466666667,4.33333333333333,592.666666666667,3
pi4ka,962.647,1637.388,2,863,3
pias3,938.53,1597.51366666667,5.33333333333333,623.666666666667,3
plk2,958.923,1609.065,6,672.333333333333,3
ppp1cc,949.012,1626.37933333333,0,571.666666666667,3
ppp1r12a,954.856333333333,1596.21866666667,3.66666666666667,981.333333333333,3
ppp2r3a,958.282666666667,1621.34766666667,4,608,3
prickle2,941.456333333333,1615.97333333333,1,629.333333333333,3
prickle2,914.330333333333,1601.97666666667,3,639.666666666667,3
prickle2,957.997,1650.97666666667,5.33333333333333,896,3
prickle2,955.84225,1627.98,3,760,4
prkce,934.78,1590.1175,0,652,4
prkce,963.706666666667,1611.15666666667,3.33333333333333,844.333333333333,3
pten,955.122666666667,1606.32433333333,3.33333333333333,679.666666666667,3
ralbp1,954.414,1645.725,4.66666666666667,654.333333333333,3
ralbp1,937.4285,1575.325,0,733,4
rapgef2,922.68175,1635.56725,6,823,4
rapgef2,935.43175,1590.31725,0,854.25,4
rapgef2,946.18175,1641.56725,3,898,4
rapgef2,929.826333333333,1609.80633333333,2,864.333333333333,3
rapgef5,922.456,1635.43333333333,2,1189,3
rapgef5,940.308333333333,1627.355,3,699.333333333333,3
rapgef5,945.778,1640.59825,2.25,777.5,4
rasa1,935.087,1616.19025,6,894.75,4
rbpj,930.873333333333,1619.392,6,770.333333333333,3
rgl2,932.676333333333,1600.81533333333,6,629,3
rgs14,951.268666666667,1631.42633333333,3,662.333333333333,3
rock2,945.3085,1630.59375,4.75,750.5,4
ryr2,943.478666666667,1606.52966666667,0,604,3
sav1,937.412333333333,1617.48666666667,6,895.666666666667,3
slc8a2,959.528,1622.29333333333,6,871,3
slc8a2,913.143666666667,1625.14433333333,0,684,3
slc8a2,963.477,1600.811,6,640.333333333333,3
smad4,963.202666666667,1621.247,2,678.666666666667,3
stim1,942.955,1610.287,6,562,3
stradb,937.8025,1645.10075,2,756.75,4
synj1,944.32075,1584.07625,6,803.25,4
synj1,945.128333333333,1634.096,2.66666666666667,879.666666666667,3
synj1,958.461666666667,1623.096,4,904.333333333333,3
vav3,912.5495,1598.5405,6,659,4
fake8,949.851,1638.78033333333,5.33333333333333,692.666666666667,3
fake38,937.15,1649.26033333333,2.66666666666667,535.333333333333,3
fake60,930.40025,1581.5725,2.5,706.75,4
