gene,Hyb1,Hyb2,Hyb3,Hyb4
Dnm1l,17,16,13,20
Sqstm1,14,14,4,4
Nars,20,1,1,20
Zfand5,6,14,4,16
Srpk2,14,19,13,20
Tspyl4,17,18,9,6
Sptbn2,20,14,4,10
Epha7,14,1,4,11
Nisch,5,2,4,3
Nudt3,8,12,4,16
St6galnac5,19,14,4,9
Pcdh19,6,14,16,4
Klhl2,13,16,9,20
Tomm20,20,19,16,3
Nceh1,2,18,16,4
Gde1,10,16,13,13
Nudcd3,16,16,10,2
Zyg11b,1,14,4,11
Fam171b,20,16,2,14
Lrrn2,12,20,13,19
Rnf14,9,2,20,11
Tax1bp1,20,5,10,15
Sorcs3,14,20,11,3
Cdc42se2,9,10,19,20
Bnip3l,17,1,13,5
U2surp,5,9,10,4
Reep5,2,8,4,6
Dynll2,5,20,9,16
Etv1,6,12,12,6
Apba2,1,16,7,10
Ppp1r9a,13,2,3,12
Gpd2,17,11,13,15
Stxbp5l,14,18,13,19
Ap2b1,6,19,17,8
Nfe2l1,7,16,7,16
Lrp1,13,5,2,16
Calb1,13,19,19,13
Dmtn,15,8,20,3
Ppp2ca,19,14,19,14
Rbm5,5,9,6,8
Ahcyl1,12,1,14,19
Slc25a12,4,2,18,8
Cadps,16,10,2,4
Ncoa1,18,8,12,14
Wdr1,4,7,7,4
Cbx5,8,19,16,11
Ptprd,20,9,3,6
Agtpbp1,1,3,12,12
Cap2,7,13,4,16
Chd5,7,12,2,17
Epn2,15,15,10,20
Abhd12,4,14,15,3
Abcf1,15,14,9,20
Gng2,5,13,1,17
Nfasc,5,8,1,12
Zmynd11,2,14,3,13
Tro,6,1,8,19
Prpf4b,12,9,19,2
Ube3a,11,2,18,15
Add1,16,5,5,16
Gnl3l,1,10,9,2
Wbp2,7,10,20,17
Nptx1,2,11,8,5
Kmt2a,16,7,17,6
Necap1,15,16,13,18
Bmpr2,12,2,15,19
Ubl3,14,9,17,6
Tmem179,7,18,13,12
Armc1,18,20,5,13
Bclaf1,17,20,3,14
Dync1i1,20,8,5,3
Tm9sf3,2,19,16,5
Pou3f1,11,10,16,5
Pacsin1,14,15,12,17
Appl1,16,10,16,10
