ch,x,y,z,int
1,1317.0,1617.0,2.0,20120
1,1239.0,1310.0,3.0,20168
1,1339.0,1417.0,5.0,19477
1,1374.0,1894.0,2.0,18088
1,1796.0,1272.0,12.0,13021
1,1263.0,1652.0,7.0,16759
1,1167.0,1532.0,3.0,16666
1,778.0,1788.0,5.0,18015
1,25.0,1107.0,4.0,13819
1,1211.0,1287.0,2.0,11610
1,435.0,1416.0,6.0,12636
1,519.0,1610.0,5.0,12361
1,1394.0,1460.0,2.0,15703
1,1379.0,1732.0,7.0,11715
1,146.0,1800.0,3.0,13822
1,1457.0,1254.0,2.0,15078
1,939.0,1267.0,2.0,14472
1,1124.0,174.0,3.0,14107
1,1609.0,1692.0,4.0,12826
1,877.0,937.0,3.0,13821
1,1144.0,1008.0,4.0,14592
1,1117.0,771.0,4.0,12001
1,710.0,396.0,3.0,13431
1,1852.0,1118.0,2.0,11848
1,860.0,1272.0,3.0,12075
1,632.0,1404.0,3.0,12418
1,631.0,1086.0,3.0,11965
1,1388.0,1464.0,3.0,13337
1,1797.0,1158.0,3.0,12615
1,979.0,1273.0,4.0,11398
1,693.0,995.0,5.0,11796
1,1069.0,1073.0,7.0,11537
1,1208.0,1004.0,8.0,12196
1,1331.0,1897.0,4.0,11207
1,1368.0,749.0,6.0,11850
1,757.0,694.0,3.0,11368
1,1100.0,1539.0,5.0,11447
1,640.0,1119.0,7.0,11908
1,557.0,1638.0,6.0,11151
1,1015.0,1841.0,6.0,11364
1,688.0,996.0,6.0,11162
